,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
302,900.0,15.0,22,1,527.0,1
303,300.0,3.0,30,0,296.0,2
304,600.0,0.0,12,1,85.0,1
305,60.0,0.0,35,0,49.0,3
306,60.0,0.0,35,1,58.0,3
307,300.0,0.0,27,0,146.0,2
308,300.0,0.0,16,1,73.0,2
309,900.0,5.0,31,1,598.0,1
310,360.0,2.0,20,0,341.0,2
311,600.0,0.0,59,1,347.0,1
312,60.0,0.0,24,1,39.0,3
313,300.0,0.0,29,1,209.0,2
314,60.0,0.0,25,1,35.0,3
315,300.0,0.0,28,0,258.0,2
316,300.0,2.0,34,1,289.0,2
317,180.0,0.0,26,1,84.0,2
318,300.0,0.0,17,1,92.0,2
319,600.0,0.0,42,1,443.0,1
320,600.0,0.0,34,1,234.0,1
321,180.0,0.0,53,1,139.0,2
322,60.0,0.0,28,0,43.0,3
323,300.0,3.0,19,1,128.0,2
324,300.0,3.0,40,1,51.0,2
325,600.0,0.0,63,0,416.0,1
326,900.0,0.0,50,1,546.0,1
327,60.0,0.0,44,0,59.0,3
328,180.0,2.0,21,1,43.0,2
329,60.0,0.0,41,1,48.0,3
330,600.0,0.0,22,1,330.0,1
331,30.0,0.0,29,1,27.0,3
332,180.0,0.0,20,1,30.0,2
333,60.0,0.0,25,1,47.0,3
334,300.0,0.0,33,1,229.0,2
335,60.0,0.0,19,1,19.0,3
336,300.0,0.0,25,1,129.0,2
337,300.0,0.0,39,1,193.0,2
338,720.0,0.0,29,1,401.0,1
339,600.0,5.0,25,1,176.0,1
340,600.0,0.0,11,1,101.0,1
341,180.0,0.0,11,1,70.0,2
342,180.0,0.0,47,1,144.0,2
343,300.0,0.0,44,1,233.0,2
344,60.0,0.0,22,1,48.0,3
345,1200.0,10.0,37,1,1081.0,1
346,900.0,10.0,15,1,58.0,1
347,300.0,0.0,19,1,166.0,2
348,60.0,0.0,32,0,58.0,3
349,300.0,0.0,32,0,205.0,2
350,180.0,2.0,36,1,67.0,2
351,180.0,0.0,21,0,179.0,2
352,60.0,0.0,35,0,44.0,3
353,60.0,0.0,29,1,30.0,3
354,600.0,0.0,40,1,294.0,1
355,600.0,0.0,23,1,399.0,1
356,60.0,3.0,16,0,13.0,2
357,180.0,2.0,38,0,90.0,2
358,600.0,5.0,25,1,390.0,1
359,300.0,5.0,28,1,164.0,1
360,120.0,0.0,32,0,77.0,3
361,180.0,0.0,34,1,140.0,2
362,180.0,2.0,23,0,57.0,2
363,720.0,7.0,23,1,631.0,1
364,600.0,0.0,27,1,466.0,1
365,180.0,0.0,28,1,101.0,2
366,180.0,0.0,20,0,92.0,2
367,60.0,0.0,41,0,51.0,3
368,300.0,5.0,24,1,30.0,1
369,180.0,0.0,15,1,52.0,2
370,60.0,0.0,18,1,22.0,3
371,360.0,0.0,29,1,87.0,2
372,300.0,3.0,19,1,82.0,2
373,300.0,0.0,32,0,199.0,2
374,300.0,5.0,21,0,286.0,1
375,60.0,0.0,36,0,59.0,3
376,600.0,0.0,19,0,294.0,1
377,600.0,0.0,26,1,166.0,1
378,90.0,2.0,41,1,79.0,3
379,1800.0,30.0,33,1,516.0,1
380,600.0,3.0,31,1,236.0,1
381,900.0,15.0,29,0,356.0,1
382,600.0,0.0,28,1,268.0,1
383,180.0,0.0,21,1,71.0,2
384,600.0,5.0,23,1,361.0,1
385,60.0,0.0,20,1,46.0,3
386,60.0,0.0,44,0,45.0,3
387,60.0,0.0,40,1,29.0,3
388,300.0,8.0,37,1,32.0,1
389,600.0,0.0,70,0,203.0,1
390,300.0,3.0,38,1,278.0,2
391,900.0,3.0,31,1,258.0,1
392,180.0,0.0,22,1,123.0,2
393,180.0,2.0,16,1,23.0,2
394,60.0,0.0,29,0,43.0,3
395,60.0,0.0,35,1,40.0,3
396,300.0,0.0,26,1,126.0,2
397,300.0,4.0,42,1,271.0,2
398,60.0,0.0,22,1,39.0,3
399,600.0,0.0,20,0,300.0,1
400,120.0,1.0,65,1,110.0,3
401,600.0,0.0,34,1,242.0,1
402,300.0,8.0,23,1,160.0,1
403,600.0,0.0,28,0,249.0,1
404,600.0,0.0,33,1,337.0,1
405,300.0,3.0,35,1,266.0,2
406,60.0,0.0,20,0,45.0,3
407,60.0,0.0,26,1,45.0,3
408,120.0,0.0,26,1,117.0,3
409,1200.0,0.0,26,1,1015.0,1
410,300.0,2.0,14,1,105.0,2
411,1200.0,0.0,53,1,1087.0,1
412,300.0,0.0,59,1,185.0,2
413,900.0,15.0,39,1,55.0,1
414,900.0,15.0,27,1,375.0,1
415,600.0,0.0,18,1,101.0,1
416,180.0,0.0,19,1,77.0,2
417,180.0,5.0,62,1,64.0,2
418,300.0,0.0,38,0,299.0,2
419,900.0,0.0,19,1,271.0,1
420,660.0,8.0,26,0,640.0,1
421,600.0,0.0,20,1,182.0,1
422,60.0,0.0,32,0,57.0,3
423,60.0,0.0,40,0,58.0,3
424,300.0,0.0,29,1,181.0,2
425,300.0,0.0,33,0,271.0,2
426,600.0,0.0,27,1,260.0,1
427,300.0,0.0,23,1,61.0,2
428,900.0,15.0,28,1,385.0,1
429,180.0,0.0,56,1,177.0,2
430,300.0,0.0,30,1,279.0,2
431,60.0,0.0,27,1,50.0,3
432,1200.0,0.0,41,1,343.0,1
433,600.0,0.0,43,0,567.0,1
434,30.0,0.0,24,0,18.0,3
435,300.0,0.0,34,1,213.0,2
436,300.0,0.0,65,1,285.0,2
437,300.0,0.0,56,0,299.0,2
438,60.0,0.0,18,1,42.0,3
439,900.0,15.0,11,0,32.0,1
440,300.0,3.0,36,1,158.0,2
441,300.0,0.0,20,1,159.0,2
442,360.0,0.0,33,0,307.0,2
443,120.0,0.0,30,1,66.0,3
444,300.0,0.0,19,1,129.0,2
445,300.0,0.0,18,1,46.0,2
446,300.0,0.0,36,0,299.0,2
447,420.0,0.0,27,0,150.0,2
448,300.0,0.0,12,1,77.0,2
449,300.0,0.0,48,1,174.0,2
450,1200.0,15.0,42,1,581.0,1
451,180.0,2.0,30,0,167.0,2
452,240.0,5.0,53,1,61.0,2
453,900.0,15.0,27,1,556.0,1
454,60.0,0.0,30,1,56.0,3
455,600.0,0.0,39,1,227.0,1
456,300.0,0.0,17,1,67.0,2
457,180.0,2.0,34,0,160.0,2
458,900.0,0.0,49,0,866.0,1
459,30.0,0.0,18,1,23.0,3
460,300.0,0.0,29,1,226.0,2
461,300.0,0.0,28,0,101.0,2
462,120.0,1.0,38,0,119.0,3
463,120.0,0.0,40,0,115.0,3
464,600.0,0.0,26,1,244.0,1
465,60.0,0.0,37,0,59.0,3
466,60.0,0.0,24,1,35.0,3
467,900.0,15.0,36,1,12.0,1
468,60.0,0.0,32,0,59.0,3
469,600.0,0.0,16,1,141.0,1
470,600.0,0.0,38,1,355.0,1
471,120.0,0.0,18,1,21.0,3
472,60.0,0.0,28,1,47.0,3
473,60.0,0.0,57,0,56.0,3
474,60.0,0.0,29,1,42.0,3
475,120.0,1.0,21,1,20.0,3
476,180.0,2.0,30,1,86.0,2
477,180.0,3.0,39,1,138.0,2
478,600.0,0.0,39,0,597.0,1
